cik,symbol,sector,sub_industry,date,year,accession,primary_doc,path
0000066740,MMM,Industrials,Industrial Conglomerates,2026-02-03,2026,0000066740-26-000014,mmm-20251231.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0000066740\000006674026000014\mmm-20251231.htm
0000066740,MMM,Industrials,Industrial Conglomerates,2025-02-05,2025,0000066740-25-000006,mmm-20241231.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0000066740\000006674025000006\mmm-20241231.htm
0000066740,MMM,Industrials,Industrial Conglomerates,2024-02-07,2024,0000066740-24-000016,mmm-20231231.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0000066740\000006674024000016\mmm-20231231.htm
0000066740,MMM,Industrials,Industrial Conglomerates,2023-02-08,2023,0000066740-23-000014,mmm-20221231.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0000066740\000006674023000014\mmm-20221231.htm
0000066740,MMM,Industrials,Industrial Conglomerates,2022-02-09,2022,0000066740-22-000010,mmm-20211231.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0000066740\000006674022000010\mmm-20211231.htm
0000066740,MMM,Industrials,Industrial Conglomerates,2021-02-04,2021,0001558370-21-000737,mmm-20201231x10k.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0000066740\000155837021000737\mmm-20201231x10k.htm
0000091142,AOS,Industrials,Building Products,2026-02-10,2026,0000091142-26-000008,aos-20251231.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0000091142\000009114226000008\aos-20251231.htm
0000091142,AOS,Industrials,Building Products,2025-02-11,2025,0000091142-25-000036,aos-20241231.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0000091142\000009114225000036\aos-20241231.htm
0000091142,AOS,Industrials,Building Products,2024-02-13,2024,0000091142-24-000041,aos-20231231.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0000091142\000009114224000041\aos-20231231.htm
0000091142,AOS,Industrials,Building Products,2023-02-14,2023,0000091142-23-000025,aos-20221231.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0000091142\000009114223000025\aos-20221231.htm
0000091142,AOS,Industrials,Building Products,2022-02-11,2022,0000091142-22-000028,aos-20211231.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0000091142\000009114222000028\aos-20211231.htm
