cik,symbol,sector,sub_industry,date,year,accession,primary_doc,path,doc_wordcount,n_exec_officers,flat,tau_raw,K_rd,rd_reported,rev_reported,keywords_total
0000066740,MMM,Industrials,Industrial Conglomerates,2026-02-03,2026,0000066740-26-000014,mmm-20251231.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0000066740\000006674026000014\mmm-20251231.htm,75683,0,,10.438275438341503,,,24948.0,79
0000066740,MMM,Industrials,Industrial Conglomerates,2025-02-05,2025,0000066740-25-000006,mmm-20241231.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0000066740\000006674025000006\mmm-20241231.htm,84197,0,,9.620295259926126,,,24575.0,81
0000066740,MMM,Industrials,Industrial Conglomerates,2024-02-07,2024,0000066740-24-000016,mmm-20231231.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0000066740\000006674024000016\mmm-20231231.htm,81239,0,,9.847487044399857,,,32681.0,80
0000066740,MMM,Industrials,Industrial Conglomerates,2023-02-08,2023,0000066740-23-000014,mmm-20221231.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0000066740\000006674023000014\mmm-20221231.htm,85592,1,0.5,10.28133470417796,,,34229.0,88
0000066740,MMM,Industrials,Industrial Conglomerates,2022-02-09,2022,0000066740-22-000010,mmm-20211231.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0000066740\000006674022000010\mmm-20211231.htm,85367,1,0.5,10.542715569248069,,,35355.0,90
0000066740,MMM,Industrials,Industrial Conglomerates,2021-02-04,2021,0001558370-21-000737,mmm-20201231x10k.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0000066740\000155837021000737\mmm-20201231x10k.htm,90371,0,,11.176151641566431,,,32184.0,101
0000091142,AOS,Industrials,Building Products,2026-02-10,2026,0000091142-26-000008,aos-20251231.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0000091142\000009114226000008\aos-20251231.htm,35365,0,,11.87614873462463,,,3830.2,42
0000091142,AOS,Industrials,Building Products,2025-02-11,2025,0000091142-25-000036,aos-20241231.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0000091142\000009114225000036\aos-20241231.htm,38346,0,,10.692119125854067,,,3818.1,41
0000091142,AOS,Industrials,Building Products,2024-02-13,2024,0000091142-24-000041,aos-20231231.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0000091142\000009114224000041\aos-20231231.htm,36333,0,,11.284507197313737,,,3852.8,41
0000091142,AOS,Industrials,Building Products,2023-02-14,2023,0000091142-23-000025,aos-20221231.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0000091142\000009114223000025\aos-20221231.htm,35739,0,,10.07302946361118,,,3753.9,36
0000091142,AOS,Industrials,Building Products,2022-02-11,2022,0000091142-22-000028,aos-20211231.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0000091142\000009114222000028\aos-20211231.htm,35396,0,,11.018194146231211,,,3538.9,39
0000091142,AOS,Industrials,Building Products,2021-02-12,2021,0000091142-21-000025,aos-20201231.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0000091142\000009114221000025\aos-20201231.htm,36292,0,,10.195084316102722,,,2895.3,37
0000001800,ABT,Health Care,Health Care Equipment,2026-02-20,2026,0001628280-26-010185,abt-20251231.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0000001800\000162828026010185\abt-20251231.htm,50212,10,0.09090909090909091,14.339201784434,,,2025.0,72
0000001800,ABT,Health Care,Health Care Equipment,2025-02-21,2025,0001628280-25-007110,abt-20241231.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0000001800\000162828025007110\abt-20241231.htm,51418,9,0.1,15.55875374382512,,,2024.0,80
0000001800,ABT,Health Care,Health Care Equipment,2024-02-16,2024,0001628280-24-005348,abt-20231231.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0000001800\000162828024005348\abt-20231231.htm,52514,10,0.09090909090909091,15.234032829340748,,,2023.0,80
0000001800,ABT,Health Care,Health Care Equipment,2023-02-17,2023,0001628280-23-004026,abt-20221231.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0000001800\000162828023004026\abt-20221231.htm,50887,22,0.043478260869565216,16.114135240827718,,,2022.0,82
0000001800,ABT,Health Care,Health Care Equipment,2022-02-18,2022,0001104659-22-025141,abt-20211231x10k.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0000001800\000110465922025141\abt-20211231x10k.htm,50695,22,0.043478260869565216,19.134036887266987,,,2021.0,97
0000001800,ABT,Health Care,Health Care Equipment,2021-02-19,2021,0001104659-21-025751,abt-20201231x10k.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0000001800\000110465921025751\abt-20201231x10k.htm,50027,23,0.041666666666666664,18.58996142083275,,,2020.0,93
0001551152,ABBV,Health Care,Biotechnology,2026-02-20,2026,0001551152-26-000008,abbv-20251231.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0001551152\000155115226000008\abbv-20251231.htm,67975,0,,12.798823096726737,,,61200.0,87
0001551152,ABBV,Health Care,Biotechnology,2025-02-14,2025,0001551152-25-000020,abbv-20241231.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0001551152\000155115225000020\abbv-20241231.htm,68475,0,,11.829134720700985,,,56300.0,81
0001551152,ABBV,Health Care,Biotechnology,2024-02-20,2024,0001551152-24-000011,abbv-20231231.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0001551152\000155115224000011\abbv-20231231.htm,65962,1,0.5,11.976592583608744,,,54300.0,79
0001551152,ABBV,Health Care,Biotechnology,2023-02-17,2023,0001551152-23-000011,abbv-20221231.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0001551152\000155115223000011\abbv-20221231.htm,65269,1,0.5,11.64411895386784,,,58100.0,76
0001551152,ABBV,Health Care,Biotechnology,2022-02-18,2022,0001551152-22-000007,abbv-20211231.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0001551152\000155115222000007\abbv-20211231.htm,66532,1,0.5,11.122467384115913,,,20700.0,74
0001551152,ABBV,Health Care,Biotechnology,2021-02-19,2021,0001551152-21-000008,abbv-20201231.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0001551152\000155115221000008\abbv-20201231.htm,66987,1,0.5,10.151223371698986,,,19800.0,68
0001467373,ACN,Information Technology,IT Consulting & Other Services,2025-10-10,2025,0001467373-25-000217,acn-20250831.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0001467373\000146737325000217\acn-20250831.htm,55848,0,,14.324595330181921,,,69.7,80
0001467373,ACN,Information Technology,IT Consulting & Other Services,2024-10-10,2024,0001467373-24-000278,acn-20240831.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0001467373\000146737324000278\acn-20240831.htm,57467,0,,13.050968381853934,,,64.9,75
0001467373,ACN,Information Technology,IT Consulting & Other Services,2023-10-12,2023,0001467373-23-000324,acn-20230831.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0001467373\000146737323000324\acn-20230831.htm,54615,0,,12.633891787970338,,,64.1,69
0000796343,ADBE,Information Technology,Application Software,2026-01-15,2026,0000796343-26-000003,adbe-20251128.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0000796343\000079634326000003\adbe-20251128.htm,53227,0,,22.35707441711913,,,96.0,119
0000796343,ADBE,Information Technology,Application Software,2025-01-13,2025,0000796343-25-000004,adbe-20241129.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0000796343\000079634325000004\adbe-20241129.htm,57831,0,,30.08766924313949,,,95.0,174
0000796343,ADBE,Information Technology,Application Software,2024-01-17,2024,0000796343-24-000006,adbe-20231201.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0000796343\000079634324000006\adbe-20231201.htm,56533,0,,31.48603470539331,,,94.0,178
0000796343,ADBE,Information Technology,Application Software,2023-01-17,2023,0000796343-23-000007,adbe-20221202.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0000796343\000079634323000007\adbe-20221202.htm,57209,0,,25.5204600674719,,,93.0,146
