symbol,year,net_income,total_assets,ROA,employees,market_cap,sector_yf,founded,sector_gics,cik
MMM,2025,3250000000.0,37733000000.0,0.0861315029284711,60500.0,77560160256,Industrials,1902,Industrials,0000066740
MMM,2024,4173000000.0,39868000000.0,0.10467041236079061,60500.0,77560160256,Industrials,1902,Industrials,0000066740
MMM,2023,-6995000000.0,50580000000.0,-0.13829576907868724,60500.0,77560160256,Industrials,1902,Industrials,0000066740
MMM,2022,5777000000.0,46455000000.0,0.12435690453126681,60500.0,77560160256,Industrials,1902,Industrials,0000066740
MMM,2021,,,,60500.0,77560160256,Industrials,1902,Industrials,0000066740
AOS,2025,546200000.0,3142800000.0,0.17379406898307243,11500.0,8987461632,Industrials,1916,Industrials,0000091142
AOS,2024,533600000.0,3240000000.0,0.16469135802469137,11500.0,8987461632,Industrials,1916,Industrials,0000091142
AOS,2023,556600000.0,3213900000.0,0.17318522667164504,11500.0,8987461632,Industrials,1916,Industrials,0000091142
AOS,2022,235700000.0,3332300000.0,0.07073192689733818,11500.0,8987461632,Industrials,1916,Industrials,0000091142
ABT,2025,6524000000.0,86713000000.0,0.07523670037941255,122000.0,161117962240,Healthcare,1888,Health Care,0000001800
ABT,2024,13402000000.0,81414000000.0,0.1646154224089223,122000.0,161117962240,Healthcare,1888,Health Care,0000001800
ABT,2023,5723000000.0,73214000000.0,0.07816810992433142,122000.0,161117962240,Healthcare,1888,Health Care,0000001800
ABT,2022,6933000000.0,74438000000.0,0.09313791343131196,122000.0,161117962240,Healthcare,1888,Health Care,0000001800
ABT,2021,,,,122000.0,161117962240,Healthcare,1888,Health Care,0000001800
ABBV,2025,4226000000.0,133960000000.0,0.03154673036727381,57000.0,362808541184,Healthcare,2013 (1888),Health Care,0001551152
ABBV,2024,4278000000.0,135161000000.0,0.03165114197142667,57000.0,362808541184,Healthcare,2013 (1888),Health Care,0001551152
ABBV,2023,4863000000.0,134711000000.0,0.036099501896652834,57000.0,362808541184,Healthcare,2013 (1888),Health Care,0001551152
ABBV,2022,11836000000.0,138805000000.0,0.08527070350491697,57000.0,362808541184,Healthcare,2013 (1888),Health Care,0001551152
ACN,2025,7678433000.0,65394897000.0,0.11741639412628786,786000.0,119652900864,Technology,1989,Information Technology,0001467373
ACN,2024,7264787000.0,55932363000.0,0.1298852151124028,786000.0,119652900864,Technology,1989,Information Technology,0001467373
ACN,2023,6871557000.0,51245305000.0,0.1340914450601865,786000.0,119652900864,Technology,1989,Information Technology,0001467373
ACN,2022,6877169000.0,47263390000.0,0.14550731549302748,786000.0,119652900864,Technology,1989,Information Technology,0001467373
ACN,2021,,,,786000.0,119652900864,Technology,1989,Information Technology,0001467373
ADBE,2025,7130000000.0,29496000000.0,0.2417276918904258,31360.0,100759691264,Technology,1982,Information Technology,0000796343
ADBE,2024,5560000000.0,30230000000.0,0.18392325504465762,31360.0,100759691264,Technology,1982,Information Technology,0000796343
ADBE,2023,5428000000.0,29779000000.0,0.18227610060781088,31360.0,100759691264,Technology,1982,Information Technology,0000796343
ADBE,2022,4756000000.0,27165000000.0,0.17507822565801584,31360.0,100759691264,Technology,1982,Information Technology,0000796343
AMD,2025,4335000000.0,76926000000.0,0.056352858591373525,31000.0,463835561984,Technology,1969,Information Technology,0000002488
AMD,2024,1641000000.0,69226000000.0,0.02370496634212579,31000.0,463835561984,Technology,1969,Information Technology,0000002488
AMD,2023,854000000.0,67885000000.0,0.012580098696324666,31000.0,463835561984,Technology,1969,Information Technology,0000002488
