structure,tau,K,seed,initial_fitness,final_fitness,peak_fitness,improvement,steps_to_95pct,n_improvements,n_stalls,N,n_agents,T
V,0.1,2,1,0.6403824451746168,0.7162844001632692,0.7162844001632692,0.07590195498865238,3,3,37,15,30,40
V,0.1,2,2,0.5101019959113854,0.7263093646959552,0.7263093646959552,0.2162073687845698,4,5,35,15,30,40
V,0.1,2,3,0.4253756414250217,0.7455996289428888,0.7455996289428888,0.32022398751786707,8,8,32,15,30,40
V,0.1,2,4,0.4133232640760378,0.7561470521747163,0.7561470521747163,0.34282378809867853,7,7,33,15,30,40
V,0.1,2,5,0.4570291229610735,0.6906697800305561,0.6906697800305561,0.23364065706948262,6,6,34,15,30,40
V,0.1,2,6,0.6035093917083958,0.7940393794639249,0.7940393794639249,0.1905299877555291,5,5,35,15,30,40
V,0.1,2,7,0.4691808674370616,0.6970200901607977,0.6970200901607977,0.22783922272373608,5,6,34,15,30,40
V,0.1,2,8,0.3980999383856531,0.741210917679924,0.741210917679924,0.34311097929427087,7,8,32,15,30,40
V,0.1,2,9,0.43560608259919786,0.6951612433429765,0.6951612433429765,0.2595551607437786,8,7,33,15,30,40
V,0.1,2,10,0.5060824659706336,0.7450538912574827,0.7450538912574827,0.23897142528684912,6,7,33,15,30,40
V,0.1,2,11,0.3702841019335547,0.7570930983664377,0.7570930983664377,0.38680899643288297,6,7,33,15,30,40
V,0.1,2,12,0.5513066661887556,0.6878871802264676,0.6878871802264676,0.136580514037712,5,5,35,15,30,40
V,0.1,2,13,0.48226501220659296,0.7601104353440722,0.7601104353440722,0.27784542313747923,8,8,32,15,30,40
V,0.1,2,14,0.5247497494745208,0.6601249218770052,0.6601249218770052,0.13537517240248442,4,5,35,15,30,40
V,0.1,2,15,0.4581200341213843,0.6919558670189274,0.6919558670189274,0.23383583289754312,5,5,35,15,30,40
V,0.1,2,16,0.40327724168114865,0.7372255405450848,0.7372255405450848,0.3339482988639362,5,5,35,15,30,40
V,0.1,2,17,0.5427161457397649,0.6703730052122959,0.6703730052122959,0.12765685947253103,3,4,36,15,30,40
V,0.1,2,18,0.5384833131490434,0.7152852236447792,0.7152852236447792,0.1768019104957358,5,6,34,15,30,40
V,0.1,2,19,0.4802765616198989,0.7644219731698985,0.7644219731698985,0.28414541154999956,9,9,31,15,30,40
V,0.1,2,20,0.46729282646732034,0.6873384700319188,0.6873384700319188,0.2200456435645985,4,4,36,15,30,40
V,0.1,2,21,0.5746989290843213,0.7286505335302018,0.7286505335302018,0.15395160444588052,3,4,36,15,30,40
V,0.1,2,22,0.6497779542170071,0.6970510117314771,0.6970510117314771,0.047273057514469974,1,1,39,15,30,40
V,0.1,2,23,0.6071858097861121,0.7680571810966691,0.7680571810966691,0.16087137131055695,6,6,34,15,30,40
V,0.1,2,24,0.3574008569588486,0.6821689366779135,0.6821689366779135,0.32476807971906485,6,7,33,15,30,40
V,0.1,2,25,0.44903842780308323,0.6999594698184904,0.6999594698184904,0.2509210420154072,5,5,35,15,30,40
V,0.1,2,26,0.5720783206639125,0.6684795045361721,0.6684795045361721,0.0964011838722596,3,3,37,15,30,40
V,0.1,2,27,0.5609801184301969,0.7381931136215244,0.7381931136215244,0.1772129951913275,8,9,31,15,30,40
V,0.1,2,28,0.4677545064789014,0.7795187966971221,0.7795187966971221,0.3117642902182207,5,5,35,15,30,40
V,0.1,2,29,0.5732612094692039,0.6655569491863508,0.6655569491863508,0.09229573971714689,5,5,35,15,30,40
