structure,tau,K,seed,initial_fitness,final_fitness,peak_fitness,improvement,N,n_agents,T,shock_every,reshuffle_frac
V,0.1,2,1,0.5125354985926414,0.6734566318164318,0.7472320906645932,0.16092113322379042,15,30,40,10,0.25
V,0.1,2,2,0.5020518231755563,0.683681827449718,0.7439038984535246,0.18163000427416165,15,30,40,10,0.25
V,0.1,2,3,0.5106508711169839,0.8120224937006264,0.8120224937006264,0.3013716225836425,15,30,40,10,0.25
V,0.1,2,4,0.3117564104636103,0.5748952520760722,0.7708978719416976,0.26313884161246187,15,30,40,10,0.25
V,0.1,2,5,0.5314966296158133,0.7010477956602995,0.768693580433488,0.16955116604448617,15,30,40,10,0.25
V,0.1,2,6,0.4407574694666531,0.7301812885286001,0.7928499162360946,0.289423819061947,15,30,40,10,0.25
V,0.1,2,7,0.5640082995846468,0.6809078294181874,0.7369657351006615,0.11689952983354057,15,30,40,10,0.25
V,0.1,2,8,0.399261894639887,0.7199900863352341,0.7360045663972374,0.3207281916953471,15,30,40,10,0.25
V,0.1,2,9,0.4590322283634716,0.6283620424759538,0.709601465707973,0.16932981411248227,15,30,40,10,0.25
V,0.1,2,10,0.6156416532173985,0.6445516180526272,0.7441356119836666,0.028909964835228674,15,30,40,10,0.25
V,0.1,2,11,0.3056453608054412,0.7379798226452385,0.7656792944826616,0.43233446183979735,15,30,40,10,0.25
V,0.1,2,12,0.4557641917409231,0.5810008477665877,0.6886957033215119,0.12523665602566458,15,30,40,10,0.25
V,0.1,2,13,0.611185218698338,0.7390482640892267,0.8116144065248202,0.12786304539088877,15,30,40,10,0.25
V,0.1,2,14,0.5781826178094026,0.6621346224445563,0.7177682076761406,0.08395200463515373,15,30,40,10,0.25
V,0.1,2,15,0.5134217472059412,0.6203666555169899,0.7549879714408506,0.10694490831104864,15,30,40,10,0.25
V,0.1,2,16,0.6041254244104539,0.6766308926947757,0.7539411129429768,0.0725054682843218,15,30,40,10,0.25
V,0.1,2,17,0.4361883668244048,0.6256119251336216,0.6727257203887099,0.1894235583092168,15,30,40,10,0.25
V,0.1,2,18,0.4804700064625002,0.7546161544347414,0.7546161544347414,0.2741461479722412,15,30,40,10,0.25
V,0.1,2,19,0.3979586104380368,0.735508733968977,0.7901161158925559,0.33755012353094016,15,30,40,10,0.25
V,0.1,2,20,0.5484511982042694,0.6496551323787062,0.7205259197462993,0.10120393417443685,15,30,40,10,0.25
V,0.1,5,1,0.48737683063609627,0.675967931659836,0.7768092704460419,0.18859110102373977,15,30,40,10,0.25
V,0.1,5,2,0.5303832582971131,0.6914474994542791,0.7387813606162476,0.161064241157166,15,30,40,10,0.25
V,0.1,5,3,0.6237108874233187,0.6451614161257363,0.7099945401831851,0.021450528702417593,15,30,40,10,0.25
V,0.1,5,4,0.49365339606554975,0.6947409728433556,0.8043636250342457,0.2010875767778058,15,30,40,10,0.25
