heterogeneity,structure,tau,K,seed,shock_every,final_fitness
homogeneous,V,0.5,5,1,100,0.7294180171443272
homogeneous,V,0.5,5,1,10,0.6442256515717693
homogeneous,V,0.5,5,1,3,0.6762907552727622
homogeneous,V,0.5,5,2,100,0.6934442487896942
homogeneous,V,0.5,5,2,10,0.6262611026962337
homogeneous,V,0.5,5,2,3,0.7699324976235253
homogeneous,V,0.5,5,3,100,0.7239264487478498
homogeneous,V,0.5,5,3,10,0.6714419747375017
homogeneous,V,0.5,5,3,3,0.7283029415581355
homogeneous,V,0.5,5,4,100,0.6949227661769559
homogeneous,V,0.5,5,4,10,0.7187226965216916
homogeneous,V,0.5,5,4,3,0.6877012950568534
homogeneous,V,0.5,5,5,100,0.6654855606553001
homogeneous,V,0.5,5,5,10,0.733651609625121
homogeneous,V,0.5,5,5,3,0.6883941348287903
homogeneous,V,0.5,5,6,100,0.6722334635136473
homogeneous,V,0.5,5,6,10,0.6907116035456234
homogeneous,V,0.5,5,6,3,0.7091182702616456
homogeneous,V,0.5,5,7,100,0.6446114525386596
homogeneous,V,0.5,5,7,10,0.6791773961848874
homogeneous,V,0.5,5,7,3,0.6534638731947182
homogeneous,V,0.5,5,8,100,0.7158018719661442
homogeneous,V,0.5,5,8,10,0.7110063083528507
homogeneous,V,0.5,5,8,3,0.6615871710985101
homogeneous,V,0.5,5,9,100,0.7280442777452708
homogeneous,V,0.5,5,9,10,0.785478745698583
homogeneous,V,0.5,5,9,3,0.6812707625157475
homogeneous,V,0.5,5,10,100,0.6673076311402422
homogeneous,V,0.5,5,10,10,0.6988480052015614
homogeneous,V,0.5,5,10,3,0.7658130425597075
homogeneous,V,0.5,5,11,100,0.6641182209506916
homogeneous,V,0.5,5,11,10,0.7065690489000821
homogeneous,V,0.5,5,11,3,0.6247561969620957
homogeneous,V,0.5,5,12,100,0.7612281514819198
homogeneous,V,0.5,5,12,10,0.7812252511132591
homogeneous,V,0.5,5,12,3,0.6562643533048564
homogeneous,V,0.5,5,13,100,0.6820988695997456
homogeneous,V,0.5,5,13,10,0.6939023574783658
homogeneous,V,0.5,5,13,3,0.6627703651230205
homogeneous,V,0.5,5,14,100,0.7091717310855289
homogeneous,V,0.5,5,14,10,0.6809257492971394
homogeneous,V,0.5,5,14,3,0.7496396043946427
homogeneous,V,0.5,5,15,100,0.7138891532368451
homogeneous,V,0.5,5,15,10,0.7390680711647563
homogeneous,V,0.5,5,15,3,0.7907683156608838
homogeneous,V,0.5,5,16,100,0.7644197900908705
homogeneous,V,0.5,5,16,10,0.6126014002483494
homogeneous,V,0.5,5,16,3,0.7232948378633985
homogeneous,V,0.5,5,17,100,0.7572992647880514
homogeneous,V,0.5,5,17,10,0.6983072171507498
homogeneous,V,0.5,5,17,3,0.7400218913084482
homogeneous,V,0.5,5,18,100,0.7662938848234037
homogeneous,V,0.5,5,18,10,0.5994918487989244
homogeneous,V,0.5,5,18,3,0.6810088726228333
homogeneous,V,0.5,5,19,100,0.7546006551795448
homogeneous,V,0.5,5,19,10,0.7009799460533169
homogeneous,V,0.5,5,19,3,0.6887802473163143
homogeneous,V,0.5,5,20,100,0.7309515537647885
homogeneous,V,0.5,5,20,10,0.7264016284813096
homogeneous,V,0.5,5,20,3,0.6008836670784495
homogeneous,H,0.5,5,1,100,0.7768092704460419
homogeneous,H,0.5,5,1,10,0.7508140625105723
homogeneous,H,0.5,5,1,3,0.6769268762302285
homogeneous,H,0.5,5,2,100,0.7426570194228685
homogeneous,H,0.5,5,2,10,0.7392935723895325
homogeneous,H,0.5,5,2,3,0.4728389873105687
homogeneous,H,0.5,5,3,100,0.747456363330411
homogeneous,H,0.5,5,3,10,0.684697691855426
homogeneous,H,0.5,5,3,3,0.4988769603336597
homogeneous,H,0.5,5,4,100,0.7378555187516199
homogeneous,H,0.5,5,4,10,0.6522562647696598
homogeneous,H,0.5,5,4,3,0.6486505617461352
homogeneous,H,0.5,5,5,100,0.7638741891950858
homogeneous,H,0.5,5,5,10,0.6512107845298732
homogeneous,H,0.5,5,5,3,0.7059063475733868
homogeneous,H,0.5,5,6,100,0.7876224746849373
homogeneous,H,0.5,5,6,10,0.6639553310312727
homogeneous,H,0.5,5,6,3,0.7115850005845252
homogeneous,H,0.5,5,7,100,0.8015576680946822
homogeneous,H,0.5,5,7,10,0.5509302881775265
homogeneous,H,0.5,5,7,3,0.6300254298035932
homogeneous,H,0.5,5,8,100,0.7361810809859546
homogeneous,H,0.5,5,8,10,0.6299790787421325
homogeneous,H,0.5,5,8,3,0.5685719219266311
homogeneous,H,0.5,5,9,100,0.7793458585463651
homogeneous,H,0.5,5,9,10,0.54525239790986
homogeneous,H,0.5,5,9,3,0.6007020421069933
homogeneous,H,0.5,5,10,100,0.7149498730701491
homogeneous,H,0.5,5,10,10,0.7364949059671084
homogeneous,H,0.5,5,10,3,0.6846401048493442
homogeneous,H,0.5,5,11,100,0.733383691328114
homogeneous,H,0.5,5,11,10,0.584779270076141
homogeneous,H,0.5,5,11,3,0.5478156992313087
homogeneous,H,0.5,5,12,100,0.7007250987671776
homogeneous,H,0.5,5,12,10,0.6737004698889042
homogeneous,H,0.5,5,12,3,0.7278126446512176
homogeneous,H,0.5,5,13,100,0.7481608671957409
homogeneous,H,0.5,5,13,10,0.7015555427678285
homogeneous,H,0.5,5,13,3,0.5229937315572013
homogeneous,H,0.5,5,14,100,0.7161710521894029
homogeneous,H,0.5,5,14,10,0.5782747011186815
homogeneous,H,0.5,5,14,3,0.6237137097549336
homogeneous,H,0.5,5,15,100,0.6948110009771454
homogeneous,H,0.5,5,15,10,0.5674733436902873
homogeneous,H,0.5,5,15,3,0.5542590436809153
homogeneous,H,0.5,5,16,100,0.7644197900908705
homogeneous,H,0.5,5,16,10,0.6514647168491395
homogeneous,H,0.5,5,16,3,0.6739228043340503
homogeneous,H,0.5,5,17,100,0.7526559475798146
homogeneous,H,0.5,5,17,10,0.6287595141538782
homogeneous,H,0.5,5,17,3,0.6190850837590626
homogeneous,H,0.5,5,18,100,0.7662938848234037
homogeneous,H,0.5,5,18,10,0.6384827359344548
homogeneous,H,0.5,5,18,3,0.6584912605260018
homogeneous,H,0.5,5,19,100,0.7354431606522817
homogeneous,H,0.5,5,19,10,0.663354237906966
homogeneous,H,0.5,5,19,3,0.6418517800753001
homogeneous,H,0.5,5,20,100,0.7494652105134428
homogeneous,H,0.5,5,20,10,0.7001220582661204
homogeneous,H,0.5,5,20,3,0.5188136263620263
homogeneous,Hy,0.5,5,1,100,0.7577516998537192
homogeneous,Hy,0.5,5,1,10,0.6495868086950161
homogeneous,Hy,0.5,5,1,3,0.7924050882388065
homogeneous,Hy,0.5,5,2,100,0.7283073896062059
homogeneous,Hy,0.5,5,2,10,0.5847614999114128
homogeneous,Hy,0.5,5,2,3,0.7480903517524405
homogeneous,Hy,0.5,5,3,100,0.7643113726659856
homogeneous,Hy,0.5,5,3,10,0.5925804003150968
homogeneous,Hy,0.5,5,3,3,0.7509327007081708
homogeneous,Hy,0.5,5,4,100,0.7160295730626269
homogeneous,Hy,0.5,5,4,10,0.7154909882222265
homogeneous,Hy,0.5,5,4,3,0.6230174153422618
homogeneous,Hy,0.5,5,5,100,0.7692206847120143
homogeneous,Hy,0.5,5,5,10,0.6695848102185007
homogeneous,Hy,0.5,5,5,3,0.7096003443978492
homogeneous,Hy,0.5,5,6,100,0.7876224746849373
homogeneous,Hy,0.5,5,6,10,0.7019520514926361
homogeneous,Hy,0.5,5,6,3,0.5848843045565432
homogeneous,Hy,0.5,5,7,100,0.8015576680946822
homogeneous,Hy,0.5,5,7,10,0.5828656292552523
homogeneous,Hy,0.5,5,7,3,0.5063984003731832
homogeneous,Hy,0.5,5,8,100,0.7061696244110747
homogeneous,Hy,0.5,5,8,10,0.7608046208154174
homogeneous,Hy,0.5,5,8,3,0.725037557466887
homogeneous,Hy,0.5,5,9,100,0.7290750231128854
homogeneous,Hy,0.5,5,9,10,0.6548478467616703
homogeneous,Hy,0.5,5,9,3,0.5568431027614722
homogeneous,Hy,0.5,5,10,100,0.7532703184288388
homogeneous,Hy,0.5,5,10,10,0.703641364719122
homogeneous,Hy,0.5,5,10,3,0.7696531316900639
homogeneous,Hy,0.5,5,11,100,0.730906066831478
homogeneous,Hy,0.5,5,11,10,0.7474980397664592
homogeneous,Hy,0.5,5,11,3,0.5738028636434047
homogeneous,Hy,0.5,5,12,100,0.8017331575342647
homogeneous,Hy,0.5,5,12,10,0.6972690975983263
homogeneous,Hy,0.5,5,12,3,0.6272490109384766
homogeneous,Hy,0.5,5,13,100,0.746317083566874
homogeneous,Hy,0.5,5,13,10,0.714776905936938
homogeneous,Hy,0.5,5,13,3,0.5808122241852182
homogeneous,Hy,0.5,5,14,100,0.7276321513363845
homogeneous,Hy,0.5,5,14,10,0.5424394098191447
homogeneous,Hy,0.5,5,14,3,0.64072467653962
