structure,tau,K,seed,shock_every,initial_fitness,final_fitness
V,0.2,2,1,100,0.5137999353185614,0.7179375985845307
V,0.2,2,2,100,0.4450566532051038,0.7263093646959552
V,0.2,2,3,100,0.52112520862176,0.7455996289428888
V,0.2,2,4,100,0.6054926931676144,0.7186175664893945
V,0.2,2,5,100,0.5696115781530451,0.6906697800305561
V,0.2,2,6,100,0.6793211050111391,0.7844624753422667
V,0.2,2,7,100,0.6208780949876025,0.7164438616429505
V,0.2,2,8,100,0.5583309103614253,0.6801238085316033
V,0.2,2,9,100,0.5285308441705178,0.7316362379298791
V,0.2,2,10,100,0.48012540224927513,0.7491250419832318
V,0.2,2,11,100,0.5797536118225498,0.7570930983664377
V,0.2,2,12,100,0.5198976913674481,0.6482918661266589
V,0.2,2,13,100,0.5838025708427632,0.676834029847214
V,0.2,2,14,100,0.6360524283242659,0.6601249218770052
V,0.2,2,15,100,0.5232183560972518,0.7109101372936589
V,0.2,2,16,100,0.5248213049754844,0.738466281064735
V,0.2,2,17,100,0.4553902739463947,0.7059334881690432
V,0.2,2,18,100,0.5258277438173311,0.712305436696868
V,0.2,2,19,100,0.4596668897959051,0.7339263244970133
V,0.2,2,20,100,0.5652244299749952,0.6854489670430082
V,0.2,2,21,100,0.5385616125089323,0.7030913345014986
V,0.2,2,22,100,0.5332512081097528,0.724140246434871
V,0.2,2,23,100,0.6106494006446425,0.770955141736176
V,0.2,2,24,100,0.41643950042096084,0.704579550194217
V,0.2,2,25,100,0.3758661182643636,0.6534432374767426
V,0.2,2,26,100,0.4425956195779373,0.7054912530686549
V,0.2,2,27,100,0.48800730618396226,0.7381931136215244
V,0.2,2,28,100,0.5092279623413457,0.7832528516645012
V,0.2,2,29,100,0.511036425780077,0.7095908403894498
V,0.2,2,30,100,0.4603281976461967,0.6997073415466514
V,0.2,5,1,100,0.541610314045038,0.6630253334233657
V,0.2,5,2,100,0.5352814637837753,0.7067987040788428
V,0.2,5,3,100,0.4577767335153525,0.747456363330411
V,0.2,5,4,100,0.4927370970629559,0.7208430527344478
V,0.2,5,5,100,0.44654993824153627,0.7586671188742825
V,0.2,5,6,100,0.43281035817180863,0.6985454344857088
V,0.2,5,7,100,0.5887087611506439,0.7363679385956391
V,0.2,5,8,100,0.5494610043333761,0.7465474739835221
V,0.2,5,9,100,0.5212451943879216,0.7018577836672363
V,0.2,5,10,100,0.5066263963721414,0.6793440111651748
V,0.2,5,11,100,0.5738713151412956,0.6222527642599169
V,0.2,5,12,100,0.6073396143169578,0.6854681339654003
V,0.2,5,13,100,0.3137456755707691,0.6862745962491517
V,0.2,5,14,100,0.48913362652431386,0.730504440524929
V,0.2,5,15,100,0.4136575366036661,0.6745824850290556
V,0.2,5,16,100,0.47357018748303736,0.7253439860897068
V,0.2,5,17,100,0.46954568965264354,0.718519566588345
V,0.2,5,18,100,0.5913810566603254,0.6094105874730575
V,0.2,5,19,100,0.4932885314385089,0.7354431606522817
V,0.2,5,20,100,0.3653067259753126,0.7648986535627905
V,0.2,5,21,100,0.6066794007388684,0.6889503006617944
V,0.2,5,22,100,0.5271735081853918,0.7401539434870823
V,0.2,5,23,100,0.525462030725382,0.6768767612863615
V,0.2,5,24,100,0.5248944735364792,0.7276836477549171
V,0.2,5,25,100,0.5469896495956149,0.66161711397325
V,0.2,5,26,100,0.5334162088895369,0.7070531258947166
V,0.2,5,27,100,0.5149348717064668,0.757006625930342
V,0.2,5,28,100,0.6871040946508222,0.7516611452748148
V,0.2,5,29,100,0.5016880157789235,0.5903638461795268
V,0.2,5,30,100,0.6065671043844818,0.7220959505281319
V,0.2,10,1,100,0.38935314915061386,0.7094631059481039
V,0.2,10,2,100,0.5019564279790355,0.6474590055858794
V,0.2,10,3,100,0.4748920221950032,0.6367062289516234
V,0.2,10,4,100,0.3735204467301735,0.6272463343856864
V,0.2,10,5,100,0.4757396488033682,0.7164336206971917
V,0.2,10,6,100,0.457593440792209,0.7308327158408695
V,0.2,10,7,100,0.5877941747038361,0.6727935222190351
V,0.2,10,8,100,0.4319887056820741,0.6966095021948028
V,0.2,10,9,100,0.4677926189438486,0.6577597414268094
V,0.2,10,10,100,0.5701333286527459,0.7184080517214333
V,0.2,10,11,100,0.49649304813024514,0.6740296095714793
V,0.2,10,12,100,0.5689514604037265,0.761702344102918
V,0.2,10,13,100,0.47387329991109683,0.6785679360416365
V,0.2,10,14,100,0.4379643002769887,0.679166047464393
V,0.2,10,15,100,0.6237483314934064,0.6804361158807933
V,0.2,10,16,100,0.32438483947117974,0.7023886378200712
V,0.2,10,17,100,0.48411809206546863,0.641911745647115
V,0.2,10,18,100,0.6040871796806826,0.6913138902910949
V,0.2,10,19,100,0.33900107353182996,0.7067001041053067
V,0.2,10,20,100,0.45987237370098233,0.6822043727766205
V,0.2,10,21,100,0.43832233764240225,0.6120765050977339
V,0.2,10,22,100,0.504999659808085,0.6304910792289505
V,0.2,10,23,100,0.5185185104910468,0.7465224257169585
V,0.2,10,24,100,0.5955594912765277,0.6936130505832903
V,0.2,10,25,100,0.4338896096675898,0.635951432299094
V,0.2,10,26,100,0.4484066087258335,0.6306969873685367
V,0.2,10,27,100,0.46930198896924397,0.681687806894487
V,0.2,10,28,100,0.468058023393979,0.6673836826849251
V,0.2,10,29,100,0.41150254660065616,0.599066830871616
V,0.2,10,30,100,0.4222084869264028,0.6858260474605171
V,0.5,2,1,100,0.556564684903472,0.6931117590741693
V,0.5,2,2,100,0.452646627233052,0.7263093646959552
V,0.5,2,3,100,0.40661742454550165,0.7455996289428888
V,0.5,2,4,100,0.5497170485514613,0.7186175664893945
V,0.5,2,5,100,0.5643035565499019,0.6349608014105591
V,0.5,2,6,100,0.543217857230546,0.7844624753422667
V,0.5,2,7,100,0.5453068772928051,0.6970200901607977
V,0.5,2,8,100,0.4526770820618839,0.741210917679924
V,0.5,2,9,100,0.4950865186674264,0.6895783213643581
V,0.5,2,10,100,0.5678898466835488,0.7420918866818098
V,0.5,2,11,100,0.3927322021661557,0.6234374486417535
V,0.5,2,12,100,0.42016455896276833,0.6882903128181491
V,0.5,2,13,100,0.5148505997926494,0.7601104353440722
V,0.5,2,14,100,0.4925012553398771,0.6734095163845466
V,0.5,2,15,100,0.5312036674527175,0.6792778239829441
V,0.5,2,16,100,0.4386039064878338,0.738466281064735
V,0.5,2,17,100,0.4745889522039863,0.7059334881690432
V,0.5,2,18,100,0.5876777591282141,0.7152852236447792
V,0.5,2,19,100,0.48018048781264705,0.7644219731698985
V,0.5,2,20,100,0.5331445694502286,0.5983800866227884
V,0.5,2,21,100,0.5592596681165369,0.7632557101900648
V,0.5,2,22,100,0.49243502167339853,0.7120276495912581
V,0.5,2,23,100,0.6374857523883827,0.770955141736176
V,0.5,2,24,100,0.498333607497295,0.704579550194217
V,0.5,2,25,100,0.5278517442947092,0.7381464439431722
V,0.5,2,26,100,0.5325975778765157,0.6684795045361721
V,0.5,2,27,100,0.3549059999488061,0.6802495143124979
V,0.5,2,28,100,0.5236128542300571,0.7542801836586711
V,0.5,2,29,100,0.5005864004730858,0.7095908403894498
V,0.5,2,30,100,0.5222891620725153,0.7048882088637387
V,0.5,5,1,100,0.4817898803986211,0.7577516998537192
V,0.5,5,2,100,0.5818832407722224,0.6077511705471889
V,0.5,5,3,100,0.4430305185951582,0.725208838838413
V,0.5,5,4,100,0.5213268973198619,0.6940107177354725
V,0.5,5,5,100,0.5022721176250075,0.6351144963561164
V,0.5,5,6,100,0.5173215775557604,0.7475709469482138
V,0.5,5,7,100,0.5226009887236578,0.7165581496875395
V,0.5,5,8,100,0.35811367700861857,0.715805546185713
V,0.5,5,9,100,0.5407281140966747,0.6688491307750198
V,0.5,5,10,100,0.5009868390626313,0.717096027903303
V,0.5,5,11,100,0.5251377585457454,0.70272416333698
V,0.5,5,12,100,0.5629061809766408,0.7612281514819198
V,0.5,5,13,100,0.6167672534644417,0.6971183194007953
V,0.5,5,14,100,0.4230789775623205,0.715371621514049
V,0.5,5,15,100,0.5849386488655303,0.7560076280872922
V,0.5,5,16,100,0.45659318418614336,0.7213799772391911
V,0.5,5,17,100,0.4496230442072456,0.7529652593058057
V,0.5,5,18,100,0.4188143572869783,0.712527714929365
V,0.5,5,19,100,0.4641072357279429,0.6614501506480829
V,0.5,5,20,100,0.4900193685186415,0.7354180744155124
V,0.5,5,21,100,0.44431946151647783,0.6772627507475151
V,0.5,5,22,100,0.5315885760172796,0.6514127283215629
V,0.5,5,23,100,0.43297364731041355,0.7279299210682585
V,0.5,5,24,100,0.46067028235446944,0.7230970774356502
V,0.5,5,25,100,0.4487970099108677,0.6798046676098468
V,0.5,5,26,100,0.43900351369788965,0.7470619862230795
V,0.5,5,27,100,0.6148950066368959,0.6718893372413107
V,0.5,5,28,100,0.4643963543504516,0.6921635949604491
V,0.5,5,29,100,0.6051966046509761,0.7040559668057189
V,0.5,5,30,100,0.48433225432660565,0.6796359115058059
V,0.5,10,1,100,0.5173797494162488,0.6726296074710771
V,0.5,10,2,100,0.5332951156092763,0.7253606131550518
V,0.5,10,3,100,0.3827505627113635,0.6751378322258342
V,0.5,10,4,100,0.3799489895609459,0.6506907534733005
V,0.5,10,5,100,0.45915181575540465,0.6623072263181996
V,0.5,10,6,100,0.4400829950690586,0.7013896269823211
V,0.5,10,7,100,0.6267361135078227,0.6663157828858809
V,0.5,10,8,100,0.5869889749997239,0.6890066904801666
V,0.5,10,9,100,0.4017296087300848,0.7321782938333823
V,0.5,10,10,100,0.5684136721389214,0.6883576359746281
V,0.5,10,11,100,0.4841418161308385,0.6374929564489686
V,0.5,10,12,100,0.542701837864675,0.7652086757790361
V,0.5,10,13,100,0.558011151665724,0.6821738218416653
V,0.5,10,14,100,0.6704781162374434,0.6890444711703101
V,0.5,10,15,100,0.5572653215854632,0.7289318999469706
V,0.5,10,16,100,0.40059342166411904,0.6861726123413129
V,0.5,10,17,100,0.49689551375475083,0.7653566246018871
V,0.5,10,18,100,0.5604223588654983,0.6009374941695043
V,0.5,10,19,100,0.4827056844983135,0.671665848771459
V,0.5,10,20,100,0.4741589002423987,0.7085998248324581
V,0.5,10,21,100,0.4266293672706745,0.7196133576329405
V,0.5,10,22,100,0.6399137876401741,0.6399137876401741
