structure,tau,K,seed,shock_every,initial_fitness,final_fitness,bank
V,0.2,2,1,100,0.5632982027497835,0.674635404014246,A
V,0.2,2,2,100,0.40397456263579035,0.6885041221401585,A
V,0.2,2,3,100,0.6147686542072458,0.7455996289428888,A
V,0.2,2,4,100,0.5207053249081365,0.7186175664893945,A
V,0.2,2,5,100,0.4935204175590138,0.6906697800305561,A
V,0.2,2,6,100,0.5055744695787062,0.7384468253359394,A
V,0.2,2,7,100,0.47552273977541876,0.6970200901607977,A
V,0.2,2,8,100,0.40190173482543373,0.6801238085316033,A
V,0.2,2,9,100,0.4567170728300764,0.6294227481860485,A
V,0.2,2,10,100,0.5408278208377375,0.7491250419832318,A
V,0.2,5,1,100,0.6579340870251656,0.7577516998537192,A
V,0.2,5,2,100,0.49981762595243256,0.7586359933024988,A
V,0.2,5,3,100,0.3258759366660119,0.6643742917369514,A
V,0.2,5,4,100,0.4767514664551413,0.7378555187516199,A
V,0.2,5,5,100,0.5053397254698003,0.7190164489875401,A
V,0.2,5,6,100,0.5180572032009764,0.7415505488295081,A
V,0.2,5,7,100,0.4402050657156318,0.668126578462766,A
V,0.2,5,8,100,0.4516784211285497,0.7307418571682198,A
V,0.2,5,9,100,0.6192405725034725,0.7359652497984059,A
V,0.2,5,10,100,0.5400140944489557,0.7294211651947295,A
V,0.2,10,1,100,0.4177523002132719,0.604356082203994,A
V,0.2,10,2,100,0.5757847251856952,0.6063376590444975,A
V,0.2,10,3,100,0.4253199394735334,0.6423113139306857,A
V,0.2,10,4,100,0.551026526612322,0.6335884637792807,A
V,0.2,10,5,100,0.42944512548492225,0.6285950513748251,A
V,0.2,10,6,100,0.5417516765960207,0.6578595858898847,A
V,0.2,10,7,100,0.3955941924406071,0.673022077687362,A
V,0.2,10,8,100,0.5079116665336563,0.7133463319996595,A
V,0.2,10,9,100,0.5790777135871338,0.6896134847247336,A
V,0.2,10,10,100,0.6326786091636364,0.7081814709019428,A
V,0.5,2,1,100,0.5094003880643819,0.712091305699841,A
V,0.5,2,2,100,0.5377057776457904,0.6941497691269063,A
V,0.5,2,3,100,0.5090641761780389,0.6941714080839501,A
V,0.5,2,4,100,0.6274668991406341,0.7448592470099495,A
V,0.5,2,5,100,0.5134814200830505,0.6906697800305561,A
V,0.5,2,6,100,0.5341505359155357,0.7464391866402378,A
V,0.5,2,7,100,0.49076588457020276,0.7164438616429505,A
V,0.5,2,8,100,0.5796439127224953,0.741210917679924,A
V,0.5,2,9,100,0.536669667773338,0.730963564193764,A
V,0.5,2,10,100,0.45258765546472257,0.7002422892522878,A
V,0.5,5,1,100,0.6031574916439407,0.6716233388107273,A
V,0.5,5,2,100,0.5959956841004163,0.7077933791847227,A
V,0.5,5,3,100,0.4432790872515825,0.724865562893371,A
V,0.5,5,4,100,0.3551227453432632,0.739153568909723,A
V,0.5,5,5,100,0.4542736346370475,0.6851205519356139,A
V,0.5,5,6,100,0.480400509555824,0.6954330767051466,A
V,0.5,5,7,100,0.47105863185649144,0.7831541980446722,A
V,0.5,5,8,100,0.21775826413720528,0.6967671459187628,A
V,0.5,5,9,100,0.5018972712375697,0.6998052033943075,A
V,0.5,5,10,100,0.5276257483746328,0.7525932819622458,A
V,0.5,10,1,100,0.6156260475725301,0.6835757298853252,A
V,0.5,10,2,100,0.44638699401642956,0.7614930059151935,A
V,0.5,10,3,100,0.49973013765096874,0.7002308116903831,A
V,0.5,10,4,100,0.5492073608272411,0.6620858473413096,A
V,0.5,10,5,100,0.5375455412277165,0.7595857593794638,A
V,0.5,10,6,100,0.47078567569892027,0.6291779808684299,A
V,0.5,10,7,100,0.4170096325008564,0.6844945529810001,A
V,0.5,10,8,100,0.5092024104943733,0.6578706792176462,A
V,0.5,10,9,100,0.4961627430800403,0.6368735705894799,A
V,0.5,10,10,100,0.41506456578150197,0.5937350611910526,A
V,0.8,2,1,100,0.43600606023496774,0.710712547326055,A
V,0.8,2,2,100,0.4997285177320939,0.7263093646959552,A
V,0.8,2,3,100,0.4722373679925546,0.7455996289428888,A
V,0.8,2,4,100,0.5331708380177262,0.7186175664893945,A
V,0.8,2,5,100,0.4786536529880476,0.6906697800305561,A
V,0.8,2,6,100,0.5852811800328743,0.7384468253359394,A
V,0.8,2,7,100,0.5579916420878255,0.6780285880945353,A
V,0.8,2,8,100,0.3011863471284358,0.741210917679924,A
V,0.8,2,9,100,0.45098347472565176,0.730963564193764,A
V,0.8,2,10,100,0.45485720021814197,0.7450538912574827,A
V,0.8,5,1,100,0.5979364446043781,0.7153359204426527,A
V,0.8,5,2,100,0.47385224852067265,0.7149164502341984,A
V,0.8,5,3,100,0.4255063026583069,0.6934551826497688,A
V,0.8,5,4,100,0.4866864199313114,0.7002981129156751,A
V,0.8,5,5,100,0.44954022085506834,0.6642328765397472,A
V,0.8,5,6,100,0.5351390986898049,0.6535087462627319,A
V,0.8,5,7,100,0.6032443623970491,0.7165581496875395,A
V,0.8,5,8,100,0.5772609695924168,0.7332307089761662,A
V,0.8,5,9,100,0.3728074123600701,0.6372330013043359,A
V,0.8,5,10,100,0.5350946405695551,0.717096027903303,A
V,0.8,10,1,100,0.5086265384953156,0.6841425003663903,A
V,0.8,10,2,100,0.4751851649966644,0.6889727724404187,A
V,0.8,10,3,100,0.5107713002323618,0.6860762661317378,A
V,0.8,10,4,100,0.5305287096929988,0.7124075196428221,A
V,0.8,10,5,100,0.6120914576465162,0.6734979569134872,A
V,0.8,10,6,100,0.5066399439493613,0.7637541182348445,A
V,0.8,10,7,100,0.6457784238405168,0.6457784238405168,A
V,0.8,10,8,100,0.43279456502742675,0.6734106091771304,A
V,0.8,10,9,100,0.4913139391722984,0.6680727044645489,A
V,0.8,10,10,100,0.6493902267864547,0.6929946933265748,A
H,0.2,2,1,100,0.6796219054796908,0.7162844001632692,A
H,0.2,2,2,100,0.47395214912823536,0.6885041221401585,A
H,0.2,2,3,100,0.47377905345421195,0.6675941947407047,A
H,0.2,2,4,100,0.4313373321344782,0.7494803855080496,A
H,0.2,2,5,100,0.5835142662858244,0.7168751050498022,A
H,0.2,2,6,100,0.45385869141514307,0.7940393794639249,A
H,0.2,2,7,100,0.48607889031816387,0.7164438616429505,A
H,0.2,2,8,100,0.35890983675722216,0.741210917679924,A
H,0.2,2,9,100,0.5239190495462608,0.7249695712632124,A
H,0.2,2,10,100,0.5100957614154523,0.7602368220203382,A
H,0.2,5,1,100,0.5746056403579749,0.6937908261092555,A
H,0.2,5,2,100,0.5140670726760809,0.7694712831878664,A
H,0.2,5,3,100,0.4780476400846757,0.7326448846529762,A
H,0.2,5,4,100,0.48710386351146095,0.7447126240389258,A
H,0.2,5,5,100,0.4977931102017494,0.733410013632024,A
H,0.2,5,6,100,0.49690430547796094,0.7601369801429005,A
H,0.2,5,7,100,0.4523637747127494,0.7166960943650404,A
H,0.2,5,8,100,0.46582305253715606,0.7533725074623827,A
H,0.2,5,9,100,0.5404345810523257,0.738667698976807,A
H,0.2,5,10,100,0.5318075361111111,0.715088690987862,A
H,0.2,10,1,100,0.45252077304722066,0.6879567900762645,A
H,0.2,10,2,100,0.6007775172450438,0.7049904352388247,A
H,0.2,10,3,100,0.5494458574068367,0.6994879909227941,A
H,0.2,10,4,100,0.39859397988207257,0.7945868341134488,A
H,0.2,10,5,100,0.627271653023134,0.6679339666569137,A
H,0.2,10,6,100,0.5116290984151973,0.6845774136232247,A
H,0.2,10,7,100,0.5138455045167114,0.7309984504078939,A
H,0.2,10,8,100,0.5209657694393351,0.6975358478899977,A
H,0.2,10,9,100,0.5344622331883869,0.5971051136201668,A
H,0.2,10,10,100,0.5293099127676346,0.7607899057453499,A
H,0.5,2,1,100,0.468841298927029,0.6931117590741693,A
H,0.5,2,2,100,0.481433430540844,0.6900190702048455,A
H,0.5,2,3,100,0.375746076402777,0.7455996289428888,A
H,0.5,2,4,100,0.5916230057534627,0.7359822536114871,A
H,0.5,2,5,100,0.5287784345302904,0.6871130771423343,A
H,0.5,2,6,100,0.6114060762965188,0.7844624753422667,A
H,0.5,2,7,100,0.445796831351496,0.6978016083943711,A
H,0.5,2,8,100,0.48113995580352614,0.741210917679924,A
H,0.5,2,9,100,0.42488813275895754,0.7316362379298791,A
H,0.5,2,10,100,0.5266479370327146,0.7450538912574827,A
H,0.5,5,1,100,0.5334013662348546,0.7768092704460419,A
H,0.5,5,2,100,0.5051343603462065,0.7574634266559922,A
H,0.5,5,3,100,0.44946737471041937,0.7961038337897011,A
H,0.5,5,4,100,0.4600713689020337,0.7095878551982082,A
H,0.5,5,5,100,0.4836471363078614,0.7638741891950858,A
H,0.5,5,6,100,0.4286795894667199,0.7644250386107916,A
H,0.5,5,7,100,0.4613703618183949,0.707184220500996,A
H,0.5,5,8,100,0.4947546860750318,0.7350061303527572,A
H,0.5,5,9,100,0.4778719634471533,0.7408033624898203,A
H,0.5,5,10,100,0.427530837956006,0.7523707503396595,A
H,0.5,10,1,100,0.5926570810080816,0.7111297342289424,A
H,0.5,10,2,100,0.5328552478759009,0.7488534456148029,A
H,0.5,10,3,100,0.48723226865399094,0.7220688383725922,A
H,0.5,10,4,100,0.5171300259066006,0.6759438463834413,A
H,0.5,10,5,100,0.464017961168007,0.6966685460687755,A
H,0.5,10,6,100,0.5071947271610224,0.7510596381359884,A
H,0.5,10,7,100,0.5244521659273211,0.7545748610143999,A
H,0.5,10,8,100,0.49982887948669663,0.7306459546373302,A
H,0.5,10,9,100,0.6417755445412964,0.6417755445412964,A
H,0.5,10,10,100,0.5256682021206647,0.7022332461012983,A
H,0.8,2,1,100,0.5002672147694125,0.712091305699841,A
H,0.8,2,2,100,0.48584620208900825,0.6885041221401585,A
H,0.8,2,3,100,0.4845148104494801,0.7048733457597424,A
H,0.8,2,4,100,0.6386860000466754,0.7359822536114871,A
H,0.8,2,5,100,0.39531142580827744,0.6831417134292452,A
H,0.8,2,6,100,0.6246314578153971,0.7844624753422667,A
H,0.8,2,7,100,0.459300293530233,0.6970200901607977,A
H,0.8,2,8,100,0.5787762444743456,0.741210917679924,A
H,0.8,2,9,100,0.48309709102412957,0.730963564193764,A
H,0.8,2,10,100,0.5806060961072889,0.7450538912574827,A
H,0.8,5,1,100,0.5117712105821962,0.7210746795673856,A
H,0.8,5,2,100,0.5619143338220258,0.7084979919130093,A
H,0.8,5,3,100,0.5639566288128728,0.7643113726659856,A
H,0.8,5,4,100,0.5477536725044833,0.7259515130654569,A
H,0.8,5,5,100,0.5466846394784081,0.733410013632024,A
H,0.8,5,6,100,0.4916512230218044,0.7208918827741345,A
H,0.8,5,7,100,0.5585959453230882,0.8015576680946822,A
H,0.8,5,8,100,0.4250426484629562,0.7361810809859546,A
H,0.8,5,9,100,0.5731351293432426,0.7035264120048182,A
H,0.8,5,10,100,0.4533175990175122,0.7097725784555355,A
H,0.8,10,1,100,0.4688565866717488,0.7274025871471668,A
H,0.8,10,2,100,0.4662456012475492,0.6880577986603055,A
H,0.8,10,3,100,0.5592324473531398,0.7737341483153026,A
H,0.8,10,4,100,0.44904849828406623,0.6936219918985478,A
H,0.8,10,5,100,0.4283550875328709,0.6496934744173016,A
H,0.8,10,6,100,0.4600024698292131,0.7235346018655816,A
H,0.8,10,7,100,0.5699998706041406,0.7122658158575835,A
H,0.8,10,8,100,0.46756288690835957,0.714011417803176,A
H,0.8,10,9,100,0.44094871763976035,0.6977466158254609,A
H,0.8,10,10,100,0.5619305785276831,0.6856391247776996,A
Hy,0.2,2,1,100,0.5702808583508348,0.674635404014246,A
Hy,0.2,2,2,100,0.5483744327231761,0.6941497691269063,A
Hy,0.2,2,3,100,0.5548752534238478,0.7455996289428888,A
Hy,0.2,2,4,100,0.4152840170392693,0.7561470521747163,A
Hy,0.2,2,5,100,0.46215815076173317,0.6871130771423343,A
Hy,0.2,2,6,100,0.5114148944827563,0.7940393794639249,A
Hy,0.2,2,7,100,0.4876940168443682,0.6970200901607977,A
Hy,0.2,2,8,100,0.5377743745445913,0.741210917679924,A
Hy,0.2,2,9,100,0.5171518143486448,0.730963564193764,A
Hy,0.2,2,10,100,0.6443841871090352,0.7869034886870048,A
Hy,0.2,5,1,100,0.46453120872951764,0.700855119117124,A
Hy,0.2,5,2,100,0.5676989928737055,0.7706192033402125,A
Hy,0.2,5,3,100,0.4862272373989801,0.7961038337897011,A
Hy,0.2,5,4,100,0.48864773193488065,0.7318525625248746,A
Hy,0.2,5,5,100,0.41949423985706563,0.7692206847120143,A
Hy,0.2,5,6,100,0.51926328616416,0.7644250386107916,A
Hy,0.2,5,7,100,0.48987185274189443,0.7250615279502368,A
Hy,0.2,5,8,100,0.36506250134964774,0.8003920922289061,A
Hy,0.2,5,9,100,0.3499976859102588,0.6845188298518594,A
