structure,tau,K,seed,initial_fitness,final_fitness,peak_fitness,improvement,steps_to_95pct,N,n_agents,T,fragmentation_cost,sweep,n_agents_setting
V,0.1,2,1,0.535578133000717,0.671382080866393,0.671382080866393,0.13580394786567596,6,15,30,40,0.1,fragmentation_cost,
V,0.1,2,2,0.5914063021171254,0.6941497691269063,0.6941497691269063,0.10274346700978088,6,15,30,40,0.1,fragmentation_cost,
V,0.1,2,3,0.5850065094939396,0.6941714080839501,0.6941714080839501,0.10916489859001044,6,15,30,40,0.1,fragmentation_cost,
V,0.1,2,4,0.49472372739142045,0.7561470521747163,0.7561470521747163,0.2614233247832959,5,15,30,40,0.1,fragmentation_cost,
V,0.1,2,5,0.5058183653561392,0.7250243049291851,0.7250243049291851,0.2192059395730459,5,15,30,40,0.1,fragmentation_cost,
V,0.1,2,6,0.5955012891852278,0.6559960922456674,0.6559960922456674,0.06049480306043953,1,15,30,40,0.1,fragmentation_cost,
V,0.1,2,7,0.4754022760488763,0.7112545395082974,0.7112545395082974,0.23585226345942112,6,15,30,40,0.1,fragmentation_cost,
V,0.1,2,8,0.5022723383030453,0.6801238085316033,0.6801238085316033,0.17785147022855796,6,15,30,40,0.1,fragmentation_cost,
V,0.1,2,9,0.48274385420976856,0.714112216498854,0.714112216498854,0.23136836228908547,6,15,30,40,0.1,fragmentation_cost,
V,0.1,2,10,0.5168550861006544,0.7491250419832318,0.7491250419832318,0.23226995588257737,5,15,30,40,0.1,fragmentation_cost,
V,0.1,2,11,0.4384784853621327,0.7345564698374677,0.7345564698374677,0.296077984475335,6,15,30,40,0.1,fragmentation_cost,
V,0.1,2,12,0.5289330488704874,0.6482918661266589,0.6482918661266589,0.11935881725617148,3,15,30,40,0.1,fragmentation_cost,
V,0.1,2,13,0.47633588430999774,0.7402293542930714,0.7402293542930714,0.2638934699830736,5,15,30,40,0.1,fragmentation_cost,
V,0.1,2,14,0.45815726494115233,0.7067576756341304,0.7067576756341304,0.24860041069297806,5,15,30,40,0.1,fragmentation_cost,
V,0.1,2,15,0.5283801161135961,0.7244902695879004,0.7244902695879004,0.19611015347430427,7,15,30,40,0.1,fragmentation_cost,
V,0.1,2,16,0.4578144396059863,0.7283237969947095,0.7283237969947095,0.2705093573887232,5,15,30,40,0.1,fragmentation_cost,
V,0.1,2,17,0.5151171919042519,0.7059334881690432,0.7059334881690432,0.19081629626479135,4,15,30,40,0.1,fragmentation_cost,
V,0.1,2,18,0.3894615975762301,0.6990583846048682,0.6990583846048682,0.30959678702863813,5,15,30,40,0.1,fragmentation_cost,
V,0.1,2,19,0.4398847140649661,0.7644219731698985,0.7644219731698985,0.32453725910493236,6,15,30,40,0.1,fragmentation_cost,
V,0.1,2,20,0.5721372244360161,0.6890683751856339,0.6890683751856339,0.1169311507496178,4,15,30,40,0.1,fragmentation_cost,
V,0.1,5,1,0.5704773118847002,0.7768092704460419,0.7768092704460419,0.20633195856134168,2,15,30,40,0.1,fragmentation_cost,
V,0.1,5,2,0.5373592586002743,0.641179159439216,0.641179159439216,0.10381990083894166,3,15,30,40,0.1,fragmentation_cost,
V,0.1,5,3,0.4218795910374145,0.679023999036351,0.679023999036351,0.2571444079989365,4,15,30,40,0.1,fragmentation_cost,
V,0.1,5,4,0.5147279525504549,0.7348715845440571,0.7348715845440571,0.2201436319936022,5,15,30,40,0.1,fragmentation_cost,
V,0.1,5,5,0.43540785555499845,0.6514746789012821,0.6514746789012821,0.21606682334628363,4,15,30,40,0.1,fragmentation_cost,
V,0.1,5,6,0.4883418386468807,0.6121753823530934,0.6121753823530934,0.12383354370621275,2,15,30,40,0.1,fragmentation_cost,
V,0.1,5,7,0.6019221290287929,0.6995414949944735,0.6995414949944735,0.09761936596568055,3,15,30,40,0.1,fragmentation_cost,
V,0.1,5,8,0.4063589376047909,0.7350061303527572,0.7350061303527572,0.3286471927479663,3,15,30,40,0.1,fragmentation_cost,
V,0.1,5,9,0.5584533660433441,0.7290750231128854,0.7290750231128854,0.17062165706954135,5,15,30,40,0.1,fragmentation_cost,
V,0.1,5,10,0.510489826651107,0.717096027903303,0.717096027903303,0.20660620125219598,3,15,30,40,0.1,fragmentation_cost,
V,0.1,5,11,0.3868447573822629,0.6966982353948159,0.6966982353948159,0.309853478012553,6,15,30,40,0.1,fragmentation_cost,
V,0.1,5,12,0.5531986359153401,0.8017331575342647,0.8017331575342647,0.24853452161892453,4,15,30,40,0.1,fragmentation_cost,
V,0.1,5,13,0.380242251539066,0.7205229748730857,0.7205229748730857,0.3402807233340197,3,15,30,40,0.1,fragmentation_cost,
V,0.1,5,14,0.4855399514385226,0.6583142456692102,0.6583142456692102,0.17277429423068758,2,15,30,40,0.1,fragmentation_cost,
V,0.1,5,15,0.398836211690732,0.6687591156039259,0.6687591156039259,0.26992290391319385,4,15,30,40,0.1,fragmentation_cost,
V,0.1,5,16,0.4999286475683627,0.7206090363954937,0.7206090363954937,0.22068038882713098,3,15,30,40,0.1,fragmentation_cost,
V,0.1,5,17,0.487960215715943,0.6686395179617161,0.6686395179617161,0.18067930224577305,3,15,30,40,0.1,fragmentation_cost,
V,0.1,5,18,0.3987669313774845,0.8030963861512234,0.8030963861512234,0.4043294547737389,5,15,30,40,0.1,fragmentation_cost,
V,0.1,5,19,0.5400628201755163,0.7561523986583373,0.7561523986583373,0.21608957848282095,3,15,30,40,0.1,fragmentation_cost,
V,0.1,5,20,0.4980922332910735,0.6547680997928065,0.6547680997928065,0.15667586650173299,3,15,30,40,0.1,fragmentation_cost,
V,0.1,10,1,0.5267617594567374,0.7074532866860704,0.7074532866860704,0.18069152722933302,4,15,30,40,0.1,fragmentation_cost,
V,0.1,10,2,0.46477051260731167,0.637936482877281,0.637936482877281,0.17316597026996933,1,15,30,40,0.1,fragmentation_cost,
V,0.1,10,3,0.5071812302341706,0.6785080035133821,0.6785080035133821,0.17132677327921153,2,15,30,40,0.1,fragmentation_cost,
V,0.1,10,4,0.5180036565799483,0.6714878072033569,0.6714878072033569,0.1534841506234086,3,15,30,40,0.1,fragmentation_cost,
V,0.1,10,5,0.5940811245594538,0.6832874684318266,0.6832874684318266,0.0892063438723728,2,15,30,40,0.1,fragmentation_cost,
V,0.1,10,6,0.5210570858841773,0.7245774136232247,0.7245774136232247,0.20352032773904738,5,15,30,40,0.1,fragmentation_cost,
V,0.1,10,7,0.504109158198371,0.6632188284945537,0.6632188284945537,0.15910967029618273,7,15,30,40,0.1,fragmentation_cost,
V,0.1,10,8,0.531418221515788,0.7305794511293011,0.7305794511293011,0.19916122961351312,2,15,30,40,0.1,fragmentation_cost,
V,0.1,10,9,0.45247648464251655,0.6937251305806869,0.6937251305806869,0.2412486459381703,4,15,30,40,0.1,fragmentation_cost,
V,0.1,10,10,0.5264453438609332,0.6780985444291032,0.6780985444291032,0.15165320056817,1,15,30,40,0.1,fragmentation_cost,
V,0.1,10,11,0.5808446980431015,0.6746041967579559,0.6746041967579559,0.09375949871485445,1,15,30,40,0.1,fragmentation_cost,
V,0.1,10,12,0.4846975900605865,0.6713028154936275,0.6713028154936275,0.18660522543304098,3,15,30,40,0.1,fragmentation_cost,
V,0.1,10,13,0.3856025576895218,0.7556108131907657,0.7556108131907657,0.37000825550124394,2,15,30,40,0.1,fragmentation_cost,
V,0.1,10,14,0.5188357446481277,0.731456517714214,0.731456517714214,0.2126207730660864,2,15,30,40,0.1,fragmentation_cost,
