shock_type,intensity,structure,tau,K,seed,initial_fitness,final_fitness,improvement
periodic,0.01,V,0.2,2,1,0.5259455274073376,0.6535656086869825,0.12762008127964497
periodic,0.01,V,0.2,2,2,0.531263875141431,0.6310108454271967,0.09974697028576562
periodic,0.01,V,0.2,2,3,0.41210444510596894,0.696860685947378,0.2847562408414091
periodic,0.01,V,0.2,2,4,0.5192082606113442,0.6772766827313622,0.15806842212001804
periodic,0.01,V,0.2,2,5,0.4720259131160656,0.6871130771423343,0.21508716402626865
periodic,0.01,V,0.2,2,6,0.5574889434790206,0.7844624753422667,0.2269735318632461
periodic,0.01,V,0.2,2,7,0.44541479400732487,0.6965350999225556,0.2511203059152307
periodic,0.01,V,0.2,2,8,0.40398408508479644,0.741210917679924,0.33722683259512753
periodic,0.01,V,0.2,2,9,0.5108680099124057,0.7253888779082053,0.2145208679957996
periodic,0.01,V,0.2,2,10,0.6121464391251856,0.7869034886870048,0.17475704956181914
periodic,0.01,V,0.2,5,1,0.46703041599722883,0.6678950868505378,0.20086467085330895
periodic,0.01,V,0.2,5,2,0.6365936189490609,0.6365936189490609,0.0
periodic,0.01,V,0.2,5,3,0.5610388244443932,0.6624848277787265,0.10144600333433329
periodic,0.01,V,0.2,5,4,0.49257591585935295,0.714495284387496,0.22191936852814304
periodic,0.01,V,0.2,5,5,0.602352459706007,0.6694590232398726,0.06710656353386557
periodic,0.01,V,0.2,5,6,0.42182534623292206,0.7008673674638312,0.2790420212309091
periodic,0.01,V,0.2,5,7,0.47413928313695247,0.6210947873303102,0.14695550419335773
periodic,0.01,V,0.2,5,8,0.5885731238924099,0.6951017792378742,0.1065286553454643
periodic,0.01,V,0.2,5,9,0.5008735771554648,0.6386761470226593,0.13780256986719452
periodic,0.01,V,0.2,5,10,0.5761247419757134,0.6670217697134644,0.09089702773775099
periodic,0.01,V,0.2,10,1,0.48950214717212864,0.6810955116307401,0.19159336445861147
periodic,0.01,V,0.2,10,2,0.4536510222989752,0.6955307734142143,0.24187975111523913
periodic,0.01,V,0.2,10,3,0.44570892646938987,0.6967310828099657,0.2510221563405758
periodic,0.01,V,0.2,10,4,0.5620953677671905,0.6593313393374196,0.09723597157022912
periodic,0.01,V,0.2,10,5,0.5124124745929267,0.7282053917916685,0.21579291719874183
periodic,0.01,V,0.2,10,6,0.4656870530309551,0.6455777880766947,0.17989073504573966
periodic,0.01,V,0.2,10,7,0.5922902919889889,0.6494564491708533,0.05716615718186446
periodic,0.01,V,0.2,10,8,0.4513059563820036,0.6544782201745967,0.20317226379259307
periodic,0.01,V,0.2,10,9,0.4160720454486351,0.6297511449274736,0.21367909947883856
periodic,0.01,V,0.2,10,10,0.591239262933361,0.6883576359746281,0.09711837304126703
periodic,0.01,V,0.5,2,1,0.5501766139836555,0.7179375985845307,0.16776098460087518
periodic,0.01,V,0.5,2,2,0.4424835780409332,0.6885041221401585,0.24602054409922536
periodic,0.01,V,0.5,2,3,0.4567879886539873,0.7455996289428888,0.2888116402889015
periodic,0.01,V,0.5,2,4,0.590970107104513,0.7186175664893945,0.12764745938488142
periodic,0.01,V,0.5,2,5,0.4689341007829114,0.7141059493331703,0.24517184855025886
periodic,0.01,V,0.5,2,6,0.4353526402690781,0.7384468253359394,0.3030941850668613
periodic,0.01,V,0.5,2,7,0.51416948362174,0.6653168371441063,0.1511473535223663
periodic,0.01,V,0.5,2,8,0.6191669698638204,0.6801238085316033,0.0609568386677829
periodic,0.01,V,0.5,2,9,0.4324313180771208,0.7253888779082053,0.29295755983108446
periodic,0.01,V,0.5,2,10,0.41709887856287853,0.7072754445537098,0.2901765659908313
periodic,0.01,V,0.5,5,1,0.42689652588801136,0.6736617720316502,0.24676524614363887
periodic,0.01,V,0.5,5,2,0.6242222139499813,0.7298830666918456,0.10566085274186421
periodic,0.01,V,0.5,5,3,0.4682530130066916,0.7310994848956612,0.26284647188896965
periodic,0.01,V,0.5,5,4,0.5904830731604641,0.7411063402674589,0.1506232671069948
periodic,0.01,V,0.5,5,5,0.5435682271536522,0.733410013632024,0.1898417864783718
periodic,0.01,V,0.5,5,6,0.4215305038297109,0.7876224746849373,0.3660919708552264
periodic,0.01,V,0.5,5,7,0.4614640263675737,0.6276684023411647,0.166204375973591
periodic,0.01,V,0.5,5,8,0.38146221776885897,0.6847286119334404,0.3032663941645814
periodic,0.01,V,0.5,5,9,0.564072902418184,0.6343956152453128,0.07032271282712887
periodic,0.01,V,0.5,5,10,0.32210569626565005,0.7559647966282127,0.43385910036256264
periodic,0.01,V,0.5,10,1,0.5346698651181448,0.7163743493190605,0.18170448420091567
periodic,0.01,V,0.5,10,2,0.6245748620586126,0.66887411651883,0.04429925446021743
periodic,0.01,V,0.5,10,3,0.6125140507788592,0.6300544431013069,0.01754039232244764
periodic,0.01,V,0.5,10,4,0.3346128777312844,0.657912893431489,0.32330001570020456
periodic,0.01,V,0.5,10,5,0.5336946660506052,0.6873647632210192,0.15367009717041402
periodic,0.01,V,0.5,10,6,0.3966783464079507,0.6510517880591747,0.25437344165122405
periodic,0.01,V,0.5,10,7,0.4402839942760368,0.6878551389033205,0.2475711446272837
periodic,0.01,V,0.5,10,8,0.565946700052183,0.6445173903468546,0.07857069029467167
periodic,0.01,V,0.5,10,9,0.4331546262030775,0.6763442741283031,0.24318964792522563
periodic,0.01,V,0.5,10,10,0.6388613798308517,0.6814331470490825,0.04257176721823086
periodic,0.01,V,0.8,2,1,0.5553055862028023,0.6852209255296754,0.12991533932687305
periodic,0.01,V,0.8,2,2,0.5417194399249907,0.6086605827269105,0.06694114280191976
periodic,0.01,V,0.8,2,3,0.46668802094149486,0.7455996289428888,0.2789116080013939
periodic,0.01,V,0.8,2,4,0.4825118384393373,0.6974635921612548,0.21495175372191744
periodic,0.01,V,0.8,2,5,0.47442157980645555,0.7235417717164689,0.2491201919100134
periodic,0.01,V,0.8,2,6,0.6804508794679673,0.7695866251950931,0.08913574572712579
periodic,0.01,V,0.8,2,7,0.5694105538003911,0.6800976470624419,0.11068709326205084
periodic,0.01,V,0.8,2,8,0.5745374606502309,0.6801238085316033,0.10558634788137233
periodic,0.01,V,0.8,2,9,0.5038406600996916,0.7253888779082053,0.22154821780851364
periodic,0.01,V,0.8,2,10,0.4593441548869311,0.6653878768718358,0.20604372198490467
periodic,0.01,V,0.8,5,1,0.5084377647328571,0.7515863258674046,0.24314856113454753
periodic,0.01,V,0.8,5,2,0.4655177358494724,0.7706192033402125,0.3051014674907401
periodic,0.01,V,0.8,5,3,0.5361868589282115,0.6866124960393575,0.15042563711114598
periodic,0.01,V,0.8,5,4,0.4134040228514438,0.7348715845440571,0.3214675616926133
periodic,0.01,V,0.8,5,5,0.564528343796042,0.7615297532608453,0.19700140946480327
periodic,0.01,V,0.8,5,6,0.5632984668815045,0.7012911717243765,0.13799270484287196
periodic,0.01,V,0.8,5,7,0.4748337073896061,0.7265959558559888,0.2517622484663827
periodic,0.01,V,0.8,5,8,0.4737017023594145,0.6331729232127763,0.1594712208533618
periodic,0.01,V,0.8,5,9,0.4500847834632158,0.6679330238043384,0.2178482403411226
periodic,0.01,V,0.8,5,10,0.571936546723926,0.717096027903303,0.14515948117937694
periodic,0.01,V,0.8,10,1,0.49650308209734617,0.7271837801285294,0.23068069803118318
periodic,0.01,V,0.8,10,2,0.5204609267806068,0.6799157049870543,0.1594547782064475
periodic,0.01,V,0.8,10,3,0.4969950631710229,0.6457039796697917,0.14870891649876877
periodic,0.01,V,0.8,10,4,0.5000401492111112,0.6752434335426513,0.1752032843315401
periodic,0.01,V,0.8,10,5,0.4370483694712774,0.6590971044779841,0.2220487350067067
periodic,0.01,V,0.8,10,6,0.5845508682560575,0.6142086932868532,0.029657825030795726
periodic,0.01,V,0.8,10,7,0.4378283414213826,0.6502568645812947,0.21242852315991212
periodic,0.01,V,0.8,10,8,0.5493274050561312,0.6589925729718761,0.10966516791574488
periodic,0.01,V,0.8,10,9,0.4151542187922838,0.7084886961672883,0.29333447737500445
periodic,0.01,V,0.8,10,10,0.34295975054896105,0.6585627467156726,0.31560299616671156
periodic,0.01,H,0.2,2,1,0.5770084754651799,0.7179375985845307,0.1409291231193508
periodic,0.01,H,0.2,2,2,0.5370194996130286,0.7063093646959552,0.16928986508292654
periodic,0.01,H,0.2,2,3,0.5459298516770416,0.7455996289428888,0.19966977726584723
periodic,0.01,H,0.2,2,4,0.49367456510423785,0.7448592470099495,0.2511846819057117
periodic,0.01,H,0.2,2,5,0.4731443978949983,0.6906697800305561,0.21752538213555783
periodic,0.01,H,0.2,2,6,0.5716238047084494,0.7844624753422667,0.21283867063381723
periodic,0.01,H,0.2,2,7,0.5393638065784064,0.7164438616429505,0.17708005506454405
periodic,0.01,H,0.2,2,8,0.543330185825674,0.741210917679924,0.19788073185424992
periodic,0.01,H,0.2,2,9,0.5654410794405713,0.704010041966653,0.13856896252608164
periodic,0.01,H,0.2,2,10,0.6400984521422214,0.7869034886870048,0.14680503654478338
periodic,0.01,H,0.2,5,1,0.4039818332482436,0.7577516998537192,0.35376986660547555
periodic,0.01,H,0.2,5,2,0.44127763218995936,0.7735316598142039,0.33225402762424455
periodic,0.01,H,0.2,5,3,0.46316788672109127,0.7199580322482741,0.2567901455271829
periodic,0.01,H,0.2,5,4,0.6114408290807789,0.7318525625248746,0.12041173344409573
periodic,0.01,H,0.2,5,5,0.5261935068219019,0.7363857443588088,0.21019223753690686
periodic,0.01,H,0.2,5,6,0.4263977659636538,0.7475709469482138,0.32117318098456
periodic,0.01,H,0.2,5,7,0.5445786361131879,0.7390115410046998,0.19443290489151188
periodic,0.01,H,0.2,5,8,0.594244172161842,0.7870587588955728,0.19281458673373075
periodic,0.01,H,0.2,5,9,0.42590835788869685,0.7341366958231536,0.3082283379344567
periodic,0.01,H,0.2,5,10,0.43403201657996415,0.7040040788301688,0.26997206225020465
periodic,0.01,H,0.2,10,1,0.7015484239093338,0.7015484239093338,0.0
periodic,0.01,H,0.2,10,2,0.5014405157123082,0.7161476741489659,0.21470715843665766
periodic,0.01,H,0.2,10,3,0.4993506019424003,0.7721912793996082,0.2728406774572079
periodic,0.01,H,0.2,10,4,0.5123508390987357,0.7459221887138618,0.23357134961512616
periodic,0.01,H,0.2,10,5,0.554189805789535,0.7132604329479982,0.1590706271584632
periodic,0.01,H,0.2,10,6,0.5583118486801893,0.7138152830191391,0.15550343433894975
periodic,0.01,H,0.2,10,7,0.4693407318942125,0.7309984504078939,0.2616577185136814
periodic,0.01,H,0.2,10,8,0.5983999023209682,0.6529333033918822,0.05453340107091398
periodic,0.01,H,0.2,10,9,0.5943669428680731,0.7031285773684391,0.10876163450036602
periodic,0.01,H,0.2,10,10,0.546639281651758,0.7214188156102966,0.17477953395853862
periodic,0.01,H,0.5,2,1,0.46741887678966537,0.7162844001632692,0.24886552337360385
periodic,0.01,H,0.5,2,2,0.526541194964634,0.7263093646959552,0.19976816973132117
periodic,0.01,H,0.5,2,3,0.42172539027169004,0.7455996289428888,0.32387423867119874
periodic,0.01,H,0.5,2,4,0.5919888230069346,0.6957139434987153,0.10372512049178073
periodic,0.01,H,0.5,2,5,0.4099519404540084,0.7235417717164689,0.31358983126246054
periodic,0.01,H,0.5,2,6,0.5493991596567699,0.7289297867562827,0.17953062709951284
periodic,0.01,H,0.5,2,7,0.39407159992381097,0.7164438616429505,0.3223722617191395
periodic,0.01,H,0.5,2,8,0.39510180434710546,0.741210917679924,0.3461091133328185
periodic,0.01,H,0.5,2,9,0.5383838619311985,0.7316362379298791,0.19325237599868061
periodic,0.01,H,0.5,2,10,0.6142201282003554,0.7450538912574827,0.13083376305712724
periodic,0.01,H,0.5,5,1,0.6078689375939855,0.7261777781418771,0.11830884054789159
periodic,0.01,H,0.5,5,2,0.4631087725676396,0.7735316598142039,0.3104228872465643
periodic,0.01,H,0.5,5,3,0.3696266322960055,0.7310994848956612,0.3614728525996557
periodic,0.01,H,0.5,5,4,0.6320418578918755,0.7299958078061005,0.09795394991422501
periodic,0.01,H,0.5,5,5,0.5366308258565547,0.7155605408155232,0.17892971495896848
periodic,0.01,H,0.5,5,6,0.3600480947829967,0.7912542567294911,0.4312061619464944
periodic,0.01,H,0.5,5,7,0.45612185037695835,0.7174563062205019,0.2613344558435436
periodic,0.01,H,0.5,5,8,0.461567635828359,0.7158018719661442,0.2542342361377852
periodic,0.01,H,0.5,5,9,0.524947053721594,0.6971979876692813,0.1722509339476873
periodic,0.01,H,0.5,5,10,0.5039151709609008,0.7502244411150525,0.24630927015415172
periodic,0.01,H,0.5,10,1,0.43203798773047536,0.6928428421622599,0.2608048544317845
periodic,0.01,H,0.5,10,2,0.3793549246778664,0.7442589421221485,0.3649040174442821
periodic,0.01,H,0.5,10,3,0.5460617284580312,0.7737341483153026,0.22767241985727138
periodic,0.01,H,0.5,10,4,0.372722245992224,0.7313500925193869,0.3586278465271629
periodic,0.01,H,0.5,10,5,0.47637337247635814,0.6966685460687755,0.22029517359241735
periodic,0.01,H,0.5,10,6,0.5037568248311237,0.7471326140594569,0.24337578922833314
periodic,0.01,H,0.5,10,7,0.671856721628031,0.7111734862974536,0.03931676466942258
periodic,0.01,H,0.5,10,8,0.48499090266596895,0.7134902382909311,0.2284993356249621
periodic,0.01,H,0.5,10,9,0.5384327101841325,0.7094766247420918,0.1710439145579593
periodic,0.01,H,0.5,10,10,0.6157946425665027,0.7009380418138684,0.08514339924736569
periodic,0.01,H,0.8,2,1,0.5733272556341372,0.6940071696294339,0.12067991399529665
periodic,0.01,H,0.8,2,2,0.42897672135739406,0.653335406105015,0.22435868474762088
periodic,0.01,H,0.8,2,3,0.5425180613626974,0.7455996289428888,0.20308156758019136
periodic,0.01,H,0.8,2,4,0.3839815308876072,0.7561470521747163,0.3721655212871091
periodic,0.01,H,0.8,2,5,0.5361590562489962,0.666837628507393,0.13067857225839685
periodic,0.01,H,0.8,2,6,0.4852449451629238,0.7245197983991484,0.23927485323622455
periodic,0.01,H,0.8,2,7,0.5521219426633553,0.7164438616429505,0.16432191897959514
periodic,0.01,H,0.8,2,8,0.46872566895771073,0.741210917679924,0.27248524872221325
periodic,0.01,H,0.8,2,9,0.45433681943121973,0.7316362379298791,0.27729941849865936
periodic,0.01,H,0.8,2,10,0.49936803743960473,0.7450538912574827,0.24568585381787794
periodic,0.01,H,0.8,5,1,0.5503984414134097,0.7195366469655549,0.1691382055521452
periodic,0.01,H,0.8,5,2,0.3629450723562087,0.7761379498545331,0.4131928774983244
periodic,0.01,H,0.8,5,3,0.4636711917852774,0.6477105322393494,0.184039340454072
periodic,0.01,H,0.8,5,4,0.6574974822534619,0.7002981129156751,0.04280063066221318
periodic,0.01,H,0.8,5,5,0.4862048724433787,0.7112799480507446,0.2250750756073659
periodic,0.01,H,0.8,5,6,0.40394568779464507,0.7475709469482138,0.34362525915356873
periodic,0.01,H,0.8,5,7,0.431087342872262,0.8015576680946822,0.3704703252224202
periodic,0.01,H,0.8,5,8,0.44034974516025494,0.68912161234093,0.248771867180675
periodic,0.01,H,0.8,5,9,0.4880166283438983,0.729738915902884,0.24172228755898567
periodic,0.01,H,0.8,5,10,0.4520239646169495,0.717096027903303,0.26507206328635347
periodic,0.01,H,0.8,10,1,0.6781769407863902,0.6781769407863902,0.0
periodic,0.01,H,0.8,10,2,0.5221723216251354,0.7165769458989364,0.194404624273801
periodic,0.01,H,0.8,10,3,0.3742505176252512,0.7526709640918188,0.3784204464665676
periodic,0.01,H,0.8,10,4,0.47352548697325386,0.7100786631163148,0.23655317614306098
periodic,0.01,H,0.8,10,5,0.40216114731512403,0.692384936063292,0.29022378874816795
periodic,0.01,H,0.8,10,6,0.5872365564529443,0.6860398324395566,0.09880327598661232
periodic,0.01,H,0.8,10,7,0.2766843656341603,0.7632661548470066,0.4865817892128462
periodic,0.01,H,0.8,10,8,0.5054593564328982,0.6682463539169674,0.16278699748406922
periodic,0.01,H,0.8,10,9,0.45911801619123765,0.7432589104760581,0.2841408942848204
periodic,0.01,H,0.8,10,10,0.46163822890180717,0.6874862952857389,0.22584806638393173
periodic,0.01,Hy,0.2,2,1,0.5470902263442429,0.710712547326055,0.16362232098181217
periodic,0.01,Hy,0.2,2,2,0.3647986070971029,0.6980559379361673,0.3332573308390644
periodic,0.01,Hy,0.2,2,3,0.4762041085174386,0.7455996289428888,0.2693955204254502
periodic,0.01,Hy,0.2,2,4,0.46591011013397926,0.6957139434987153,0.22980383336473603
periodic,0.01,Hy,0.2,2,5,0.4718515288554491,0.7045597267395218,0.2327081978840727
periodic,0.01,Hy,0.2,2,6,0.583325119036578,0.7928499162360946,0.20952479719951655
periodic,0.01,Hy,0.2,2,7,0.5363333883814939,0.6970200901607977,0.16068670177930378
periodic,0.01,Hy,0.2,2,8,0.45379259720388254,0.741210917679924,0.28741832047604143
periodic,0.01,Hy,0.2,2,9,0.5250169240039196,0.7253888779082053,0.20037195390428564
periodic,0.01,Hy,0.2,2,10,0.4674435662726598,0.7869034886870048,0.31945992241434495
periodic,0.01,Hy,0.2,5,1,0.4561209228566366,0.7226277535160089,0.26650683065937236
periodic,0.01,Hy,0.2,5,2,0.5307638136330897,0.7397282399235479,0.2089644262904582
periodic,0.01,Hy,0.2,5,3,0.5253530348075405,0.7260493298488158,0.20069629504127529
periodic,0.01,Hy,0.2,5,4,0.647062949682953,0.7040387448088615,0.05697579512590856
periodic,0.01,Hy,0.2,5,5,0.42023417723863865,0.7615297532608453,0.3412955760222066
