structure,tau,K,seed,initial_fitness,final_fitness,peak_fitness,improvement,steps_to_95pct,N,n_agents,T
V,0.1,2,1,0.535578133000717,0.671382080866393,0.671382080866393,0.13580394786567596,6,15,30,40
V,0.1,2,2,0.5914063021171254,0.6941497691269063,0.6941497691269063,0.10274346700978088,6,15,30,40
V,0.1,2,3,0.5850065094939396,0.6941714080839501,0.6941714080839501,0.10916489859001044,6,15,30,40
V,0.1,2,4,0.49472372739142045,0.7561470521747163,0.7561470521747163,0.2614233247832959,5,15,30,40
V,0.1,2,5,0.5058183653561392,0.7250243049291851,0.7250243049291851,0.2192059395730459,5,15,30,40
V,0.1,2,6,0.5955012891852278,0.6559960922456674,0.6559960922456674,0.06049480306043953,1,15,30,40
V,0.1,2,7,0.4754022760488763,0.7112545395082974,0.7112545395082974,0.23585226345942112,6,15,30,40
V,0.1,2,8,0.5022723383030453,0.6801238085316033,0.6801238085316033,0.17785147022855796,6,15,30,40
V,0.1,2,9,0.48274385420976856,0.714112216498854,0.714112216498854,0.23136836228908547,6,15,30,40
V,0.1,2,10,0.5168550861006544,0.7491250419832318,0.7491250419832318,0.23226995588257737,5,15,30,40
V,0.1,2,11,0.4384784853621327,0.7345564698374677,0.7345564698374677,0.296077984475335,6,15,30,40
V,0.1,2,12,0.5289330488704874,0.6482918661266589,0.6482918661266589,0.11935881725617148,3,15,30,40
V,0.1,2,13,0.47633588430999774,0.7402293542930714,0.7402293542930714,0.2638934699830736,5,15,30,40
V,0.1,2,14,0.45815726494115233,0.7067576756341304,0.7067576756341304,0.24860041069297806,5,15,30,40
V,0.1,2,15,0.5283801161135961,0.7244902695879004,0.7244902695879004,0.19611015347430427,7,15,30,40
V,0.1,2,16,0.4578144396059863,0.7283237969947095,0.7283237969947095,0.2705093573887232,5,15,30,40
V,0.1,2,17,0.5151171919042519,0.7059334881690432,0.7059334881690432,0.19081629626479135,4,15,30,40
V,0.1,2,18,0.3894615975762301,0.6990583846048682,0.6990583846048682,0.30959678702863813,5,15,30,40
V,0.1,2,19,0.4398847140649661,0.7644219731698985,0.7644219731698985,0.32453725910493236,6,15,30,40
V,0.1,2,20,0.5721372244360161,0.6890683751856339,0.6890683751856339,0.1169311507496178,4,15,30,40
V,0.1,2,21,0.4394594351184234,0.7381100893563486,0.7381100893563486,0.2986506542379252,5,15,30,40
V,0.1,2,22,0.5119915566423466,0.7490603516986292,0.7490603516986292,0.23706879505628253,4,15,30,40
V,0.1,2,23,0.49025551929599465,0.7180234916198734,0.7180234916198734,0.2277679723238788,5,15,30,40
V,0.1,2,24,0.5061166876130536,0.6348044795586615,0.6348044795586615,0.12868779194560787,4,15,30,40
V,0.1,2,25,0.3793562386559109,0.7381464439431722,0.7381464439431722,0.3587902052872613,10,15,30,40
V,0.1,2,26,0.5378482360371921,0.734432926609852,0.734432926609852,0.19658469057265993,6,15,30,40
V,0.1,2,27,0.346637046206469,0.7381931136215244,0.7381931136215244,0.3915560674150554,11,15,30,40
V,0.1,2,28,0.5513067467474009,0.7368866199332574,0.7368866199332574,0.18557987318585656,4,15,30,40
V,0.1,2,29,0.522396685883438,0.6655569491863508,0.6655569491863508,0.14316026330291276,6,15,30,40
V,0.1,2,30,0.45862759024705146,0.7139240337271564,0.7139240337271564,0.25529644348010494,6,15,30,40
V,0.1,2,31,0.5248908681257302,0.7155263288089657,0.7155263288089657,0.19063546068323556,6,15,30,40
V,0.1,2,32,0.4244014619798215,0.6879037914691674,0.6879037914691674,0.2635023294893459,6,15,30,40
V,0.1,2,33,0.5246803652538524,0.7149578890188001,0.7149578890188001,0.19027752376494766,5,15,30,40
