structure,tau,K,seed,shock_every,reshuffle_frac,initial_fitness,final_fitness,improvement,N,n_agents,T
V,0.2,2,1,100,0.25,0.43189353354280935,0.712091305699841,0.2801977721570317,15,30,40
V,0.2,2,2,100,0.25,0.45901548487162824,0.6448020868460965,0.18578660197446828,15,30,40
V,0.2,2,3,100,0.25,0.5134922118244553,0.6949662709381508,0.18147405911369552,15,30,40
V,0.2,2,4,100,0.25,0.5720038488879954,0.7561470521747163,0.18414320328672096,15,30,40
V,0.2,2,5,100,0.25,0.5881800036966919,0.6871130771423343,0.0989330734456424,15,30,40
V,0.2,2,6,100,0.25,0.6548511159924899,0.7844624753422667,0.12961135934977674,15,30,40
V,0.2,2,7,100,0.25,0.5922787919753015,0.6428518543476848,0.05057306237238324,15,30,40
V,0.2,2,8,100,0.25,0.3993634799158306,0.741210917679924,0.3418474377640934,15,30,40
V,0.2,2,9,100,0.25,0.4670199118486837,0.7316362379298791,0.2646163260811954,15,30,40
V,0.2,2,10,100,0.25,0.433805854203352,0.7491250419832318,0.31531918777987983,15,30,40
V,0.2,2,11,100,0.25,0.4054605594952917,0.7345564698374677,0.329095910342176,15,30,40
V,0.2,2,12,100,0.25,0.49746782871396733,0.6464190708366836,0.14895124212271627,15,30,40
V,0.2,2,13,100,0.25,0.503771825288526,0.7103178697264975,0.20654604443797142,15,30,40
V,0.2,2,14,100,0.25,0.45319133009194973,0.6734095163845466,0.22021818629259687,15,30,40
V,0.2,2,15,100,0.25,0.5200767068299494,0.6732354685607222,0.1531587617307728,15,30,40
V,0.2,2,16,100,0.25,0.5069583643214893,0.7306084080726737,0.22365004375118436,15,30,40
V,0.2,2,17,100,0.25,0.5106779224230883,0.6718601186021417,0.16118219617905338,15,30,40
V,0.2,2,18,100,0.25,0.5593565612623318,0.712305436696868,0.15294887543453617,15,30,40
V,0.2,2,19,100,0.25,0.5832011469387635,0.7644219731698985,0.181220826231135,15,30,40
V,0.2,2,20,100,0.25,0.43136725017750427,0.6724505569730685,0.24108330679556428,15,30,40
V,0.2,2,21,100,0.25,0.537789050107708,0.7059337358750377,0.16814468576732966,15,30,40
V,0.2,2,22,100,0.25,0.5848305085530415,0.7648875044470136,0.18005699589397206,15,30,40
V,0.2,2,23,100,0.25,0.5511894589331967,0.7541459655326107,0.202956506599414,15,30,40
V,0.2,2,24,100,0.25,0.5512662249404982,0.6622400622708909,0.11097383733039279,15,30,40
V,0.2,2,25,100,0.25,0.5235605034119021,0.6365676371726934,0.1130071337607913,15,30,40
V,0.2,2,26,100,0.25,0.5777763685818932,0.6973736782719424,0.11959730969004922,15,30,40
V,0.2,2,27,100,0.25,0.3292081540204203,0.70932089220288,0.38011273818245966,15,30,40
V,0.2,2,28,100,0.25,0.5706013013892122,0.7832528516645012,0.21265155027528904,15,30,40
